WKT,POINT_ID
"POINT (2789998.77286246 1953999.88150599)","27901954"
"POINT (2789998.10711742 1972001.32591077)","27901972"
"POINT (2790001.24177083 2146000.62921426)","27902146"
"POINT (2790001.68913373 2199999.28298916)","27902200"
"POINT (2789994.47274408 2332001.57896725)","27902332"
"POINT (2791998.32137381 1799995.37314195)","27921800"
"POINT (2791999.36455421 1847999.35636054)","27921848"
"POINT (2791999.53502214 1943999.55617631)","27921944"
"POINT (2791999.42735056 1970000.75866394)","27921970"
"POINT (2792002.76871858 2046002.49519375)","27922046"
"POINT (2792001.65071211 2096002.7556318)","27922096"
"POINT (2792003.32655199 2123996.89733832)","27922124"
"POINT (2792000.79148767 2190001.17654161)","27922190"
"POINT (2791999.69449696 2208001.12635105)","27922208"
"POINT (2791995.01904658 2243999.42505322)","27922244"
"POINT (2792000.98041763 2352000.44741227)","27922352"
"POINT (2792003.13487577 2411999.97090437)","27922412"
"POINT (2793997.56688132 2164000.21335208)","27942164"
"POINT (2793997.00011944 2397998.40195522)","27942398"
"POINT (2794000.27858047 2421999.36090791)","27942422"
"POINT (2795999.84436671 1830000.8261692)","27961830"
"POINT (2796000.65229074 1888001.09847658)","27961888"
"POINT (2795995.56740102 1906004.10323943)","27961906"
"POINT (2796001.07746073 1960000.29955237)","27961960"
"POINT (2795999.60288878 1977999.0581319)","27961978"
"POINT (2796001.71883457 2194000.20283823)","27962194"
"POINT (2795998.90081356 2240000.81986575)","27962240"
"POINT (2795997.92859442 2388000.99140476)","27962388"
"POINT (2796001.32855129 2406002.875784)","27962406"
"POINT (2798000.2015755 1791998.83740454)","27981792"
"POINT (2798000.51897798 1827999.59284905)","27981828"
"POINT (2798001.90895978 1899997.78903176)","27981900"
"POINT (2798000.34804044 1936000.30136194)","27981936"
"POINT (2797999.26580375 1972000.40674098)","27981972"
"POINT (2798001.24239102 2169999.43551139)","27982170"
"POINT (2798000.73930407 2224001.37916646)","27982224"
"POINT (2798003.9155995 2313997.01328517)","27982314"
"POINT (2797997.61121035 2368002.40464992)","27982368"
"POINT (2800000.49504745 1832000.08308192)","28001832"
"POINT (2799999.95801845 2012000.28608897)","28002012"
"POINT (2800001.71946151 2399999.19460747)","28002400"
"POINT (2801998.65198176 1894001.3103809)","28021894"
"POINT (2801998.99552559 1948001.70142649)","28021948"
"POINT (2801997.91886261 2034000.95880494)","28022034"
"POINT (2802000.0249891 2109998.83803937)","28022110"
"POINT (2801999.85502425 2134000.44643119)","28022134"
"POINT (2801999.155597 2145996.23372353)","28022146"
"POINT (2801999.82474938 2250000.44451036)","28022250"
"POINT (2802000.22467503 2290001.54987299)","28022290"
"POINT (2801999.64334656 2380001.04513429)","28022380"
"POINT (2801999.23925047 2433998.86113487)","28022434"
"POINT (2804000.04850891 1838001.51478215)","28041838"
"POINT (2803999.84316255 1891999.44118487)","28041892"
"POINT (2804000.06875934 1928001.28772366)","28041928"
"POINT (2804001.37386283 1942000.14987493)","28041942"
"POINT (2804000.1248821 1960000.37638519)","28041960"
"POINT (2804007.73492471 1995997.16587898)","28041996"
"POINT (2803997.90984119 2122003.94915962)","28042122"
"POINT (2803999.75702792 2125999.23603743)","28042126"
"POINT (2804000.46352621 2176000.36701984)","28042176"
"POINT (2804000.84169466 2215999.82964002)","28042216"
"POINT (2806000.10153113 1844000.38358456)","28061844"
"POINT (2806000.79069927 1866001.51261372)","28061866"
"POINT (2806000.56982112 1934001.51954018)","28061934"
"POINT (2806000.69666312 2190000.38664362)","28062190"
"POINT (2805999.50405102 2297995.8884993)","28062298"
"POINT (2806004.05864373 2315998.19499444)","28062316"
"POINT (2806000.1165348 2352001.4612958)","28062352"
"POINT (2807999.36113224 1882000.10655476)","28081882"
"POINT (2808000.36870576 2151998.71937252)","28082152"
"POINT (2808000.69762905 2380003.28333108)","28082380"
"POINT (2807999.81237234 2403999.58655329)","28082404"
"POINT (2810000.69227536 1853999.6640921)","28101854"
"POINT (2809999.9218571 1925999.99837267)","28101926"
"POINT (2810001.87366105 2059997.09610365)","28102060"
"POINT (2810003.591637 2099999.17566448)","28102100"
"POINT (2810001.97346566 2114000.34627679)","28102114"
"POINT (2809999.71214889 2388001.44001137)","28102388"
"POINT (2809997.60893502 2420004.39356275)","28102420"
"POINT (2811999.81097811 1858000.26582924)","28121858"
"POINT (2812001.50943843 1966000.44754632)","28121966"
"POINT (2811998.14031857 2019999.44240906)","28122020"
"POINT (2812010.62845254 2415998.59525951)","28122416"
"POINT (2814000.7850078 1761999.50872524)","28141762"
"POINT (2814004.08748054 2050002.19634823)","28142050"
"POINT (2814000.33367724 2185998.94710414)","28142186"
"POINT (2814002.06647461 2337999.6170813)","28142338"
"POINT (2813999.38843304 2383999.91330542)","28142384"
"POINT (2815997.83278303 2313999.60234912)","28162314"
"POINT (2815999.11775266 2332000.02022154)","28162332"
"POINT (2818001.41993646 1850001.62362612)","28181850"
"POINT (2817998.98806639 1910001.31141852)","28181910"
"POINT (2818000.47030854 1963999.46594114)","28181964"
"POINT (2818000.87011876 2018001.50232906)","28182018"
"POINT (2817999.69074534 2047999.37122781)","28182048"
"POINT (2818000.99892476 2148001.59320923)","28182148"
"POINT (2818000.55193287 2417999.9868497)","28182418"
"POINT (2819999.8112976 1840000.62295357)","28201840"
"POINT (2819999.57684353 1930000.60692262)","28201930"
"POINT (2820000.52312888 1947998.95040123)","28201948"
"POINT (2819998.85035342 2115999.24114047)","28202116"
"POINT (2819999.96581447 2127998.70435896)","28202128"
"POINT (2819998.67071543 2159999.20510301)","28202160"
"POINT (2819999.98596159 2195999.93879883)","28202196"
"POINT (2819999.45598068 2385997.19080052)","28202386"
"POINT (2822000.75126822 2085998.18001197)","28222086"
"POINT (2822008.90438523 2270003.94620787)","28222270"
"POINT (2822003.2711983 2342000.88459739)","28222342"
"POINT (2822001.71522393 2360002.24343618)","28222360"
"POINT (2821997.91381345 2378000.8690947)","28222378"
"POINT (2824000.06334617 1746000.90584372)","28241746"
"POINT (2823998.83477509 1937999.97007303)","28241938"
"POINT (2824002.35621332 2028000.45665026)","28242028"
"POINT (2823998.46018308 2041999.95172939)","28242042"
"POINT (2823998.87715752 2185999.45246204)","28242186"
"POINT (2823998.19006304 2239996.87944957)","28242240"
"POINT (2823999.19267175 2419997.06733704)","28242420"
"POINT (2826000.12328592 1954000.34880023)","28261954"
"POINT (2826001.46576429 1972000.19529905)","28261972"
"POINT (2825998.17424532 2056002.08593709)","28262056"
"POINT (2826016.23110535 2079993.41782387)","28262080"
"POINT (2826000.0468077 2097998.66791548)","28262098"
"POINT (2825999.60653022 2353998.27196064)","28262354"
"POINT (2827999.75875651 1952000.87561971)","28281952"
"POINT (2828000.67760649 2041999.90239666)","28282042"
"POINT (2827999.13175915 2118001.54475411)","28282118"
"POINT (2828001.47953027 2136000.25235512)","28282136"
"POINT (2827994.05802073 2190009.1288233)","28282190"
"POINT (2827998.94106845 2333997.74501093)","28282334"
"POINT (2830000.44757262 1756000.28240389)","28301756"
"POINT (2830001.61491013 1965996.00032361)","28301966"
"POINT (2830002.40665741 2038002.07422048)","28302038"
"POINT (2830001.20940653 2110001.56716366)","28302110"
"POINT (2830001.00529803 2314002.46108641)","28302314"
"POINT (2829996.44604381 2331994.25652025)","28302332"
"POINT (2831999.26441393 1739999.59642085)","28321740"
"POINT (2832000.23008867 1933999.67443967)","28321934"
"POINT (2832000.87993345 1942000.68385075)","28321942"
"POINT (2831999.00638096 1959998.59551454)","28321960"
"POINT (2831998.15651038 1988002.54132131)","28321988"
"POINT (2831997.86123897 2046001.94727866)","28322046"
"POINT (2832000.34563541 2176000.83815187)","28322176"
"POINT (2832002.73874943 2383996.03703807)","28322384"
"POINT (2832005.03911286 2424005.25655813)","28322424"
"POINT (2833997.78805981 2404003.7361613)","28342404"
"POINT (2835999.31706964 1747999.67102278)","28361748"
"POINT (2835998.41111514 1985999.85236458)","28361986"
"POINT (2836002.47756323 2029994.16445968)","28362030"
"POINT (2836000.76252491 2075998.24818922)","28362076"
"POINT (2836000.89414507 2148001.00864195)","28362148"
"POINT (2836001.49888295 2162000.17469802)","28362162"
"POINT (2835999.49042991 2165999.2427853)","28362166"
"POINT (2835999.89604929 2174003.00432905)","28362174"
"POINT (2835999.08714087 2219995.20306336)","28362220"
"POINT (2836002.89959512 2282000.75706857)","28362282"
"POINT (2836000.44726434 2306003.23083521)","28362306"
"POINT (2835999.51031277 2360001.15165837)","28362360"
"POINT (2835999.38896535 2378000.29105973)","28362378"
"POINT (2835999.67536823 2413999.32957311)","28362414"
"POINT (2838000.1300219 1857996.2853394)","28381858"
"POINT (2838001.6283163 1912000.20114888)","28381912"
"POINT (2838001.27224741 2062002.16055323)","28382062"
"POINT (2837999.38634893 2160001.17704074)","28382160"
"POINT (2838002.26519763 2268020.97264965)","28382268"
"POINT (2837999.69814619 2289999.9412315)","28382290"
"POINT (2838000.266997 2362002.94082318)","28382362"
"POINT (2839999.0315327 1923998.71823939)","28401924"
"POINT (2840000.75652466 2017999.1651854)","28402018"
"POINT (2839999.24090762 2053999.92494134)","28402054"
"POINT (2840000.73305426 2306003.51390588)","28402306"
"POINT (2840002.19313811 2378000.37477155)","28402378"
"POINT (2841999.74790949 1754000.27059592)","28421754"
"POINT (2841999.58665647 2060001.36202581)","28422060"
"POINT (2841999.66866983 2114001.09375455)","28422114"
"POINT (2841998.80268767 2315996.6933043)","28422316"
"POINT (2842002.70945787 2424006.92336844)","28422424"
"POINT (2843999.82042499 1774000.01477553)","28441774"
"POINT (2844000.13516411 2037999.06507122)","28442038"
"POINT (2844001.80312243 2145998.66222333)","28442146"
"POINT (2844000.36941611 2182000.07588445)","28442182"
"POINT (2844000.43813743 2407999.9926699)","28442408"
"POINT (2843998.71531561 2421998.9472056)","28442422"
"POINT (2846316.44934314 1907931.57521517)","28461908"
"POINT (2845999.24611798 2069999.67545185)","28462070"
"POINT (2846000.77185654 2190000.28360402)","28462190"
"POINT (2845998.88287316 2348000.09590911)","28462348"
"POINT (2847999.85653103 2206001.04919316)","28482206"
"POINT (2848005.27623756 2290005.39873293)","28482290"
"POINT (2847998.55993498 2326000.56986113)","28482326"
"POINT (2848000.37622082 2350002.04639567)","28482350"
"POINT (2847999.18098662 2368000.12841513)","28482368"
"POINT (2847999.71605571 2386002.58881946)","28482386"
"POINT (2847997.8072541 2404000.96422884)","28482404"
"POINT (2850000.13770927 1735999.73333079)","28501736"
"POINT (2850000.33680361 2023999.98652944)","28502024"
"POINT (2850003.35330244 2139996.10837555)","28502140"
"POINT (2849996.675003 2190000.40033111)","28502190"
"POINT (2850000.78780805 2211998.35877484)","28502212"
"POINT (2849998.52628808 2280000.45973046)","28502280"
"POINT (2850119.94759094 2333988.02818495)","28502334"
"POINT (2852000.03391107 2025998.78119591)","28522026"
"POINT (2853997.57844964 1873998.62850147)","28541874"
"POINT (2853998.8571405 1963998.23190192)","28541964"
"POINT (2854000.60923201 2018000.34688407)","28542018"
"POINT (2854000.00270313 2066001.27015683)","28542066"
"POINT (2854003.30946549 2076003.05550722)","28542076"
"POINT (2854003.94435732 2143999.36866178)","28542144"
"POINT (2854004.69017019 2166001.5817958)","28542166"
"POINT (2853999.32685965 2191999.21786022)","28542192"
"POINT (2853999.87985871 2210000.35652742)","28542210"
"POINT (2854000.9975112 2246000.60222888)","28542246"
"POINT (2854008.08389391 2281998.22311617)","28542282"
"POINT (2854001.4418225 2299999.64678332)","28542300"
"POINT (2853999.760813 2318001.87131211)","28542318"
"POINT (2853999.53832994 2381999.45135394)","28542382"
"POINT (2853993.51076206 2426000.62110913)","28542426"
"POINT (2856001.22719407 2033999.02774188)","28562034"
"POINT (2855998.37197848 2223996.53669685)","28562224"
"POINT (2856003.36399418 2289995.23943056)","28562290"
"POINT (2856001.22384905 2307997.01156328)","28562308"
"POINT (2856001.09646912 2375999.64868438)","28562376"
"POINT (2855998.0745636 2440004.48682042)","28562440"
"POINT (2857999.66909923 1744000.94196673)","28581744"
"POINT (2858001.11990152 2036001.09261359)","28582036"
"POINT (2858005.24094949 2197993.49990187)","28582198"
"POINT (2857997.05302383 2414004.23816154)","28582414"
"POINT (2860000.87121293 1668000.79603395)","28601668"
"POINT (2860001.21939834 2150000.04822748)","28602150"
"POINT (2859998.75466632 2221998.90941314)","28602222"
"POINT (2859998.98378064 2239998.75031769)","28602240"
"POINT (2859998.96398538 2257999.46906038)","28602258"
"POINT (2860003.02833539 2334001.50015043)","28602334"
"POINT (2859998.9580435 2366000.6475777)","28602366"
"POINT (2862001.11764016 1900002.02959724)","28621900"
"POINT (2862001.55278758 2127998.77435957)","28622128"
"POINT (2861998.72816418 2164001.05679909)","28622164"
"POINT (2862002.53915057 2188001.62724622)","28622188"
"POINT (2861999.57273538 2326001.8668592)","28622326"
"POINT (2864001.76714685 2023999.53578085)","28642024"
"POINT (2864001.68858057 2124000.61473615)","28642124"
"POINT (2864001.25267993 2160000.10111398)","28642160"
"POINT (2864001.27175098 2167999.94125915)","28642168"
"POINT (2863997.51389751 2186003.46392428)","28642186"
"POINT (2864000.4819267 2190000.04606928)","28642190"
"POINT (2863999.92370922 2240000.73460703)","28642240"
"POINT (2863999.29134092 2249999.25723065)","28642250"
"POINT (2863999.05481096 2351999.7671405)","28642352"
"POINT (2864001.99919944 2366000.32109929)","28642366"
"POINT (2865999.12020271 1677998.85584949)","28661678"
"POINT (2865999.93266608 1893999.77973478)","28661894"
