X,Y,Point_ID,Coarse,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
-8.775251839,37.13910423,"26581768",,,,,6.90,7.24,18.14,24.60,"34",24.30,2.90,245.60,E20,U111,PT,PT1,PT15,PT150,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.833727843,37.34974664,"26581792",,,,,5.40,5.81,14.81,21.90,"0",3.40,2.30,150.00,D20,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland without tree cover,Abandoned areas
-9.24209186,38.768531158,"26581954",,,,,7.00,7.29,28.10,18.40,"46",56.50,2.10,505.20,E30,U112,PT,PT1,PT17,PT170,Grassland,Spontaneously re-vegetated surfaces,Fallow land
-8.792255364,37.283971934,"26601784",,,,,4.40,5.17,5.37,48.00,"0",5.60,3.30,103.80,D10,U120,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Forestry
-9.282250124,38.982827458,"26601978",,,,,7.10,7.38,21.60,25.20,"0",7.20,2.10,174.60,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
-8.672907268,37.270907106,"26701780",,,,,4.40,5.06,6.69,16.40,"0",0.00,1.90,74.40,D10,U120,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Forestry
-9.264401983,39.320080605,"26702014",,,,,5.50,5.92,6.08,14.20,"0",9.40,1.10,126.80,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
-8.711708338,37.578160038,"26741814",,,,,4.90,5.64,6.85,16.80,"0",28.10,1.70,103.80,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-9.145973845,39.08451978,"26741986",,,,,7.40,7.95,20.80,8.20,"285",14.00,1.10,240.20,B82,U111,PT,PT1,PT16,PT16B,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
-8.578214406,37.17866631,"26761768",,,,,7.10,7.56,18.84,38.90,"70",49.20,3.80,645.20,E10,U111,PT,PT1,PT15,PT150,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.621613437,37.336764358,"26761786",,,,,4.30,4.93,4.38,26.30,"0",4.20,2.00,80.40,B75,U111,PT,PT1,PT15,PT150,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens)
-8.66529655,37.49479743,"26761804",,,,,4.80,5.49,7.84,18.70,"2",5.30,1.40,49.50,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.812989762,38.021105409,"26761864",,,,,4.30,5.25,3.88,6.30,"0",0.00,0.40,56.60,C22,U120,PT,PT1,PT18,PT181,Woodland,Pine dominated coniferous woodland,Forestry
-9.154804085,39.19392373,"26761998",,,,,4.10,4.65,4.11,14.40,"0",0.00,0.60,27.70,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
-9.16526974,39.228877961,"26762002",,,,,6.40,6.66,3.86,3.40,"1",8.60,0.40,88.20,B72,U111,PT,PT1,PT16,PT16B,Cropland,Pear fruit,Agriculture (excluding fallow land and kitchen gardens)
-8.67255033,37.604518427,"26781816",,,,,4.10,5.27,4.54,25.90,"0",0.00,2.20,86.90,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-9.188492044,39.465089868,"26802028",,,,,6.10,6.53,4.46,4.70,"0",6.10,0.40,26.60,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
-8.702020387,37.876537866,"26821846",,,,,4.80,5.37,8.20,19.40,"0",9.80,2.40,75.70,E10,U111,PT,PT1,PT18,PT181,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.466693493,37.108231802,"26841758",,,,,7.30,7.75,21.50,37.30,"11",6.70,1.20,176.30,F40,U112,PT,PT1,PT15,PT150,Bareland,Other bare soil,Fallow land
-8.481015615,37.160965821,"26841764",,,,,7.40,7.56,24.90,50.00,"148",12.40,3.90,736.90,B84,U111,PT,PT1,PT15,PT150,Cropland,Permanent industrial crops,Agriculture (excluding fallow land and kitchen gardens)
-8.630849544,37.70546324,"26841826",,,,,6.50,6.60,19.95,15.60,"9",11.70,1.70,79.30,F40,U111,PT,PT1,PT18,PT181,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
-8.655334168,37.793213593,"26841836",,,,,5.30,5.86,17.04,34.30,"0",13.10,3.70,139.70,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.925556639,38.739647657,"26841944",,,,,6.10,6.48,3.58,5.70,"0",31.20,0.60,24.30,E30,U112,PT,PT1,PT17,PT170,Grassland,Spontaneously re-vegetated surfaces,Fallow land
-8.865543872,38.696049506,"26881938",,,,,4.90,5.59,6.92,17.60,"0",9.60,1.40,92.80,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
-8.601248224,37.933614562,"26921850",,,,,5.50,5.84,8.34,12.10,"0",7.20,1.20,59.40,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.660429092,38.144130838,"26921874",,,,,5.60,5.97,4.49,20.40,"0",5.00,1.70,167.50,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.715137176,38.337003771,"26921896",,,,,4.40,5.20,1.71,2.90,"0",0.00,0.20,13.60,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.4672418,37.534158789,"26941804",,,,,5.30,5.91,4.70,20.50,"0",4.10,2.00,196.70,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.481727657,37.586857221,"26941810",,,,,4.40,5.13,5.32,25.00,"0",4.10,2.20,101.70,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.998901767,39.391845359,"26942016",,,,,4.20,4.85,5.41,15.30,"0",5.00,1.10,37.30,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
-8.517892982,37.80194714,"26961834",,,,,5.10,5.62,3.82,13.70,"0",4.10,1.20,73.40,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.981530426,39.413820558,"26962018",,,,,5.30,5.73,14.89,33.60,"0",5.00,2.00,116.10,C10,U120,PT,PT1,PT16,PT16B,Woodland,Broadleaved woodland,Forestry
-8.502923022,37.91600888,"27001846",,,,,4.80,5.45,2.05,4.20,"0",4.10,0.40,22.00,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.547006763,38.07396855,"27001864",,,,,5.20,5.79,4.92,24.60,"0",5.00,1.90,93.90,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.591381992,38.231864294,"27001882",,,,,4.70,5.09,11.40,7.60,"0",42.10,0.70,34.70,B41,U111,PT,PT1,PT18,PT181,Cropland,Dry pulses,Agriculture (excluding fallow land and kitchen gardens)
-8.621128655,38.337092617,"27001894",,,,,4.60,5.36,1.92,2.90,"0",5.80,0.20,15.10,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.726281891,38.70516812,"27001936",,,,,6.10,6.42,4.16,6.40,"0",22.50,0.70,46.50,F40,U112,PT,PT1,PT17,PT170,Bareland,Other bare soil,Fallow land
-8.988560552,39.597617667,"27002038",,,,,6.70,7.05,13.80,9.20,"2",46.70,0.90,139.20,B72,U111,PT,PT1,PT16,PT16B,Cropland,Pear fruit,Agriculture (excluding fallow land and kitchen gardens)
-8.708951935,38.727108264,"27021938",,,,,3.60,4.28,3.19,9.40,"0",6.60,0.40,23.10,C10,U120,PT,PT1,PT17,PT170,Woodland,Broadleaved woodland,Forestry
-8.908556192,39.409777214,"27022016",,,,,5.20,5.89,7.00,18.90,"0",4.80,1.70,134.50,C10,U120,PT,PT1,PT18,PT185,Woodland,Broadleaved woodland,Forestry
-8.444053459,37.872048584,"27041840",,,,,4.30,5.11,2.89,4.70,"0",11.90,0.60,22.70,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.532129552,38.187994009,"27041876",,,,,4.50,5.41,2.17,7.10,"0",4.70,0.60,196.40,E20,U111,PT,PT1,PT18,PT181,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.225788031,37.155735162,"27061758",,,,,7.60,8.01,18.62,3.90,"695",5.90,1.80,418.80,B74,U111,PT,PT1,PT15,PT150,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
-8.539497845,38.297629974,"27061888",,,,,5.10,5.75,5.30,11.20,"0",5.30,0.90,72.10,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.745206354,39.016193394,"27061970",,,,,6.00,6.30,10.56,3.70,"0",58.40,0.50,45.90,B16,U111,PT,PT1,PT18,PT185,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
-8.370764946,37.775347764,"27081828",,,,,5.00,5.54,4.69,12.10,"0",5.50,1.40,43.00,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
-8.186661556,37.181901607,"27101760",,,,,7.50,7.92,16.20,14.40,"14",13.50,1.70,169.40,B81,U111,PT,PT1,PT15,PT150,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.314985341,37.656678734,"27101814",,,,,5.20,5.74,4.14,12.80,"0",5.30,1.70,99.90,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
-8.504861164,38.341457346,"27101892",,,,,4.80,5.53,1.56,4.30,"0",0.00,0.30,13.30,C22,U120,PT,PT1,PT18,PT181,Woodland,Pine dominated coniferous woodland,Forestry
-8.624439327,38.762266764,"27101940",,,,,5.50,5.81,3.97,10.30,"0",17.00,1.00,59.70,F40,U112,PT,PT1,PT17,PT170,Bareland,Other bare soil,Fallow land
-8.685027762,38.972502206,"27101964",,,,,6.10,6.37,12.31,4.20,"0",33.90,0.50,60.80,B42,U111,PT,PT1,PT18,PT185,Cropland,Tomatoes,Agriculture (excluding fallow land and kitchen gardens)
-8.901391332,39.707437604,"27102048",,,,,4.80,5.54,2.87,3.50,"2",0.00,0.30,76.70,C10,U120,PT,PT1,PT16,PT16F,Woodland,Broadleaved woodland,Forestry
-8.155341858,37.150986806,"27121756",,,,,7.40,7.89,15.72,19.90,"744",54.10,2.10,104.60,B75,U111,PT,PT1,PT15,PT150,Cropland,Other fruit trees and berries,Agriculture (excluding fallow land and kitchen gardens)
-8.795564111,39.432074142,"27122016",,,,,7.00,7.23,21.80,18.70,"8",7.20,1.90,139.30,B81,U111,PT,PT1,PT18,PT185,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.318924201,37.841024876,"27141834",,,,,5.00,5.47,5.19,8.30,"0",6.40,0.80,46.80,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.244007388,37.652026442,"27161812",,,,,6.20,6.52,15.90,15.90,"0",13.40,2.00,27.20,E10,U111,PT,PT1,PT18,PT184,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.781341154,39.545934421,"27162028",,,,,7.20,7.56,17.74,27.90,"357",7.30,3.10,393.70,B81,U111,PT,PT1,PT16,PT16F,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.303628792,37.955064831,"27181846",,,,,5.30,5.72,5.35,5.90,"0",13.00,0.70,80.10,B81,U111,PT,PT1,PT18,PT181,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.465129867,38.534330457,"27181912",,,,,6.00,6.11,9.11,20.80,"0",5.30,1.60,85.50,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
-8.707174304,39.375382757,"27182008",,,,,6.60,6.86,9.43,18.30,"2",4.20,1.90,229.80,E10,U111,PT,PT1,PT18,PT185,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.105164104,37.308840373,"27201772",,,,,6.40,6.57,18.13,22.30,"3",0.00,1.90,144.30,C10,U120,PT,PT1,PT15,PT150,Woodland,Broadleaved woodland,Forestry
-8.567653831,38.976993554,"27201962",,,,,4.20,4.96,3.84,13.50,"0",5.00,0.90,37.10,C32,U120,PT,PT1,PT18,PT185,Woodland,Pine dominated mixed woodland,Forestry
-8.679456518,39.362300162,"27202006",,,,,7.30,7.58,16.61,11.70,"338",20.70,1.90,156.50,B43,U111,PT,PT1,PT18,PT185,Cropland,Other fresh vegetables,Agriculture (excluding fallow land and kitchen gardens)
-8.772304319,39.67727075,"27202042",,,,,7.20,7.75,18.87,10.00,"389",13.50,1.30,154.20,E20,U111,PT,PT1,PT16,PT16F,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.031746353,37.119478361,"27221750",,,,,7.10,7.36,20.80,24.40,"551",6.40,1.50,237.40,D10,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Abandoned areas
-8.158773954,37.594567151,"27221804",,,,,5.70,6.08,6.44,11.00,"0",5.50,1.20,42.00,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.201674106,37.752803673,"27221822",,,,,5.90,6.15,7.57,15.00,"1",15.20,1.50,172.30,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
-8.288325177,38.069087349,"27221858",,,,,4.60,5.24,4.03,7.40,"0",8.20,0.80,63.40,E10,U111,PT,PT1,PT18,PT184,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.02847573,37.194145304,"27241758",,,,,7.50,7.89,23.00,15.40,"686",8.70,2.00,262.60,B81,U111,PT,PT1,PT15,PT150,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.165260477,37.704349473,"27241816",,,,,4.70,5.17,12.50,23.10,"0",11.70,1.80,80.10,E10,U111,PT,PT1,PT18,PT184,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.339140772,38.336795434,"27241888",,,,,4.80,5.43,4.20,10.20,"0",4.80,1.10,92.80,C10,U120,PT,PT1,PT18,PT181,Woodland,Broadleaved woodland,Forestry
-8.408011888,38.58247455,"27241916",,,,,6.00,6.29,8.40,27.40,"0",8.00,2.30,137.00,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
-8.598580275,39.248550539,"27241992",,,,,7.40,7.89,32.80,11.40,"19",28.60,1.30,114.70,B82,U111,PT,PT1,PT18,PT185,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
-8.747681036,39.75611735,"27242050",,,,,7.20,7.45,23.00,17.80,"0",25.90,1.20,124.80,E20,U111,PT,PT1,PT16,PT16F,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.794615335,39.913505269,"27242068",,,,,5.40,5.92,8.95,5.50,"0",9.60,0.60,27.20,C10,U120,PT,PT1,PT16,PT16F,Woodland,Broadleaved woodland,Forestry
-8.841867931,40.070830246,"27242086",,,,,4.60,5.06,3.25,5.50,"0",0.00,0.40,26.90,C10,U120,PT,PT1,PT16,PT16E,Woodland,Broadleaved woodland,Forestry
-7.947455345,37.061743648,"27281742",,,,,7.10,7.23,49.20,17.30,"3",100.40,1.70,372.00,B76,U111,PT,PT1,PT15,PT150,Cropland,Oranges,Agriculture (excluding fallow land and kitchen gardens)
-7.98926198,37.220231732,"27281760",,,,,6.90,7.25,17.41,7.70,"8",4.10,0.80,42.40,D10,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Abandoned areas
-8.173618568,37.906285332,"27281838",,,,,7.20,7.39,12.70,9.30,"4",36.80,1.10,402.80,B81,U111,PT,PT1,PT18,PT184,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.202449758,38.011727173,"27281850",,,,,4.50,5.26,4.92,6.60,"1",18.50,0.70,99.50,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.333772287,38.48586992,"27281904",,,,,5.00,5.49,5.71,12.70,"0",5.20,1.20,81.10,B15,U111,PT,PT1,PT18,PT181,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
-8.422782643,38.801651193,"27281940",,,,,4.90,5.46,3.66,11.00,"0",6.60,0.90,61.70,C32,U120,PT,PT1,PT18,PT187,Woodland,Pine dominated mixed woodland,Forestry
-8.759527193,39.957368995,"27282072",,,,,5.40,5.87,5.12,7.90,"0",6.10,0.80,127.10,C10,U120,PT,PT1,PT16,PT16F,Woodland,Broadleaved woodland,Forestry
-8.838408174,40.219561506,"27282102",,,,,4.20,4.89,3.01,10.30,"0",4.40,0.80,22.50,C10,U120,PT,PT1,PT16,PT16E,Woodland,Broadleaved woodland,Forestry
-8.480398084,39.086506588,"27301972",,,,,4.50,5.11,3.78,15.00,"0",11.10,1.10,29.80,E20,U111,PT,PT1,PT18,PT185,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.500555622,39.156601986,"27301980",,,,,5.90,6.38,3.86,5.70,"0",0.00,0.40,21.70,C10,U120,PT,PT1,PT18,PT185,Woodland,Broadleaved woodland,Forestry
-8.602248621,39.506893374,"27302020",,,,,5.60,5.97,3.88,13.60,"0",5.30,1.30,52.60,B81,U111,PT,PT1,PT16,PT16I,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.663997248,39.716919715,"27302044",,,,,3.10,4.08,6.81,56.70,"28",11.00,2.10,37.60,C32,U120,PT,PT1,PT16,PT16I,Woodland,Pine dominated mixed woodland,Forestry
-7.917530136,37.123026974,"27321748",,,,,7.00,7.33,22.20,22.40,"503",25.30,2.80,404.60,B81,U111,PT,PT1,PT15,PT150,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.001415407,37.439943207,"27321784",,,,,5.10,5.52,6.37,11.70,"0",9.20,1.30,48.10,F40,U111,PT,PT1,PT18,PT184,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
-8.71395517,39.96624501,"27322072",,,,,5.60,5.95,4.47,13.30,"1",0.00,0.50,47.00,D10,U120,PT,PT1,PT16,PT16F,Shrubland,Shrubland with sparse tree cover,Forestry
-8.208304069,38.288125141,"27341880",,,,,6.70,6.95,9.37,16.20,"0",26.70,1.60,126.40,B15,U111,PT,PT1,PT18,PT181,Cropland,Oats,Agriculture (excluding fallow land and kitchen gardens)
-8.306084154,38.63924275,"27341920",,,,,5.90,6.26,6.93,14.60,"0",28.50,1.60,151.10,E20,U111,PT,PT1,PT18,PT187,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.061192063,37.835471552,"27361828",,,,,6.40,6.56,14.42,39.90,"2",11.40,3.30,191.10,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
-8.104139267,37.993705077,"27361846",,,,,7.20,7.63,14.47,9.60,"42",19.50,0.90,269.10,B81,U111,PT,PT1,PT18,PT184,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.308355998,38.731301705,"27361930",,,,,4.80,5.35,4.01,13.40,"0",9.50,1.50,125.10,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
-8.367875561,38.941793813,"27361954",,,,,4.80,5.23,2.86,5.80,"0",0.00,0.50,23.30,E10,U111,PT,PT1,PT18,PT185,Grassland,Grassland with sparse tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.642388851,39.887635547,"27362062",,,,,3.80,4.50,13.66,24.30,"0",12.40,2.00,39.60,C32,U120,PT,PT1,PT16,PT16F,Woodland,Pine dominated mixed woodland,Forestry
-8.173463277,38.331840581,"27381884",,,,,5.90,6.32,5.55,4.60,"0",0.00,0.50,61.00,D10,U410,PT,PT1,PT18,PT187,Shrubland,Shrubland with sparse tree cover,Abandoned areas
-8.217254276,38.489891418,"27381902",,,,,4.70,5.18,4.03,16.70,"0",17.40,1.70,92.30,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
-8.251515379,38.612776723,"27381916",,,,,4.70,5.21,12.33,28.30,"0",9.20,2.20,120.20,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
-8.276096238,38.700528845,"27381926",,,,,5.70,5.99,7.82,13.20,"0",7.60,1.20,52.20,E20,U111,PT,PT1,PT18,PT187,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.532099306,39.594501726,"27382028",,,,,6.10,6.18,7.54,27.10,"0",4.10,1.90,74.10,B81,U111,PT,PT1,PT16,PT16I,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-7.960229523,37.632872734,"27401804",,,,,5.40,5.57,5.17,8.30,"0",12.10,1.20,40.30,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
-8.04546633,37.949490011,"27401840",,,,,7.40,7.76,17.61,12.30,"21",14.50,1.20,361.90,B31,U111,PT,PT1,PT18,PT184,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
-8.535023205,39.686428963,"27402038",,,,,3.60,4.31,4.53,40.40,"0",5.30,1.20,34.40,C32,U120,PT,PT1,PT16,PT16I,Woodland,Pine dominated mixed woodland,Forestry
-8.769787704,40.473456712,"27402128",,,,,4.70,5.29,2.90,3.30,"0",5.50,0.20,12.00,C22,U120,PT,PT1,PT16,PT16E,Woodland,Pine dominated coniferous woodland,Forestry
-7.789523471,37.073570738,"27421740",,,,,7.60,7.96,14.74,18.00,"363",4.40,1.50,237.90,C10,U120,PT,PT1,PT15,PT150,Woodland,Broadleaved woodland,Forestry
-7.840226945,37.267374215,"27421762",,,,,6.40,6.37,19.72,17.90,"2",12.40,2.00,355.60,D10,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland with sparse tree cover,Abandoned areas
-7.882013906,37.425871209,"27421780",,,,,5.70,6.23,5.43,5.30,"1",0.00,0.80,62.50,C22,U120,PT,PT1,PT15,PT150,Woodland,Pine dominated coniferous woodland,Forestry
-8.172593972,38.498484081,"27421902",,,,,5.10,5.51,10.15,25.50,"0",25.50,2.50,125.20,E20,U111,PT,PT1,PT18,PT187,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.430829259,39.410585148,"27422006",,,,,5.30,5.86,3.20,3.40,"0",15.30,0.50,41.40,B16,U111,PT,PT1,PT18,PT185,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
-8.440962163,39.445624524,"27422010",,,,,7.20,7.38,31.00,10.10,"5",31.50,1.30,216.70,B16,U111,PT,PT1,PT18,PT185,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
-7.983712405,37.979821582,"27461842",,,,,6.40,6.62,10.17,7.90,"1",12.60,0.90,170.10,B31,U111,PT,PT1,PT18,PT184,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
-8.045813739,38.20837457,"27461868",,,,,4.70,5.32,5.75,9.70,"0",9.80,1.10,80.20,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.069857195,38.296245051,"27461878",,,,,4.90,5.41,8.70,16.50,"0",20.20,1.70,146.80,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
-8.103666991,38.419231529,"27461892",,,,,5.00,5.71,4.66,9.70,"0",0.00,1.00,60.90,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
-8.426123654,39.55945695,"27462022",,,,,5.00,5.47,10.30,45.30,"0",6.20,2.70,135.50,C10,U120,PT,PT1,PT16,PT16I,Woodland,Broadleaved woodland,Forestry
-8.72738882,40.574158936,"27462138",,,,,4.20,5.00,2.27,3.20,"0",3.50,0.20,16.80,C22,U120,PT,PT1,PT16,PT16D,Woodland,Pine dominated coniferous woodland,Forestry
-7.92837558,37.860931339,"27481828",,,,,5.60,5.88,5.87,16.90,"0",4.60,1.80,64.00,C10,U120,PT,PT1,PT18,PT184,Woodland,Broadleaved woodland,Forestry
-7.956786288,37.966473332,"27481840",,,,,5.20,5.45,9.91,6.80,"0",24.30,0.70,79.60,B31,U111,PT,PT1,PT18,PT184,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
-8.086193948,38.441070935,"27481894",,,,,4.60,5.19,4.66,20.20,"0",11.70,2.00,72.50,C10,U120,PT,PT1,PT18,PT187,Woodland,Broadleaved woodland,Forestry
-8.277726695,39.125615979,"27481972",,,,,6.40,6.66,9.85,7.80,"2",7.70,0.60,31.30,C10,U120,PT,PT1,PT18,PT186,Woodland,Broadleaved woodland,Forestry
-8.677925269,40.491218541,"27482128",,,,,6.90,7.27,6.14,5.10,"1",12.10,0.60,31.70,E20,U111,PT,PT1,PT16,PT16D,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-7.793951199,37.442682224,"27501780",,,,,5.70,6.06,3.10,5.90,"0",4.40,0.90,66.60,B74,U111,PT,PT1,PT15,PT150,Cropland,Nuts trees,Agriculture (excluding fallow land and kitchen gardens)
-7.845168807,37.636371176,"27501802",,,,,5.40,5.78,4.75,7.90,"0",10.50,1.10,45.10,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.059040764,38.427769695,"27501892",,,,,4.80,5.45,4.93,9.30,"0",9.50,1.00,32.80,E20,U111,PT,PT1,PT18,PT187,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-7.964727398,38.168384318,"27521862",,,,,6.90,7.28,11.91,8.20,"33",10.70,0.90,136.50,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-8.007829938,38.326592956,"27521880",,,,,6.90,7.36,12.06,20.80,"13",4.90,2.30,96.10,B81,U111,PT,PT1,PT18,PT187,Cropland,Olive groves,Agriculture (excluding fallow land and kitchen gardens)
-8.408952199,39.747690009,"27522042",,,,,6.40,6.53,8.60,31.70,"1",6.40,1.90,255.40,C10,U410,PT,PT1,PT16,PT16I,Woodland,Broadleaved woodland,Abandoned areas
-8.548144841,40.220277718,"27522096",,,,,7.10,7.36,22.40,12.80,"42",110.00,1.60,71.00,B21,U113,PT,PT1,PT16,PT16E,Cropland,Potatoes,Kitchen gardens
-8.595175679,40.377683448,"27522114",,,,,4.50,5.05,3.00,9.50,"0",0.00,0.50,18.30,C22,U120,PT,PT1,PT16,PT16E,Woodland,Pine dominated coniferous woodland,Forestry
-7.694621989,37.23962435,"27541756",,,,,5.10,5.94,3.69,15.60,"0",4.60,1.60,145.20,D20,U410,PT,PT1,PT15,PT150,Shrubland,Shrubland without tree cover,Abandoned areas
-7.777729769,37.556732141,"27541792",,,,,5.60,6.10,4.44,7.00,"1",7.10,1.30,48.20,E20,U111,PT,PT1,PT18,PT184,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
