X,Y,Point_ID,Coarse,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
-0.997714722,39.95725952,"33801942","50","17","40","42",7.30,7.80,13.83,19.40,"285",0.00,1.60,144.10,C23,U120,ES,ES5,ES52,ES523,Woodland,Other coniferous woodland,Forestry
-1.0534516,40.27927934,"33801978","43","39","33","28",7.60,8.10,14.17,11.20,"369",9.40,1.00,447.30,F40,U112,ES,ES2,ES24,ES242,Bareland,Other bare soil,Fallow land
-1.081611629,40.440229206,"33801996","23","21","42","37",7.60,8.16,18.61,8.80,"613",12.30,1.10,104.50,F40,U112,ES,ES2,ES24,ES242,Bareland,Other bare soil,Fallow land
-1.116296935,40.636891742,"33802018","33","26","45","28",7.60,8.08,17.29,8.00,"232",11.00,1.00,201.70,B13,U111,ES,ES2,ES24,ES242,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-1.13852405,40.76200988,"33802032","77","22","20","57",7.30,7.48,17.83,52.30,"22",7.70,5.80,421.50,D20,U420,ES,ES2,ES24,ES242,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
-1.144896902,40.797753543,"33802036","55","31","23","47",7.40,7.75,22.10,19.50,"87",18.20,1.90,158.50,B18,U111,ES,ES2,ES24,ES242,Cropland,Triticale,Agriculture (excluding fallow land and kitchen gardens)
-1.151279679,40.833495265,"33802040","20","46","11","43",7.50,7.89,24.20,13.20,"622",27.30,1.90,306.40,E30,U112,ES,ES2,ES24,ES242,Grassland,Spontaneously re-vegetated surfaces,Fallow land
-1.180125571,40.994309055,"33802058","34","22","37","41",5.60,5.82,20.90,11.10,"1",10.00,1.30,118.20,B13,U111,ES,ES2,ES24,ES242,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-1.238429334,41.315819649,"33802094",,,,,7.70,8.39,15.56,3.60,"238",10.70,0.50,107.90,B82,U111,ES,ES2,ES24,ES243,Cropland,Vineyards,Agriculture (excluding fallow land and kitchen gardens)
-1.504340861,42.725084889,"33802252",,,,,7.50,8.05,13.24,10.00,"263",16.50,1.30,93.40,B31,U111,ES,ES2,ES22,ES220,Cropland,Sunflower,Agriculture (excluding fallow land and kitchen gardens)
-1.560267076,43.010154081,"33802284","20","13","42","44",3.50,4.30,10.66,47.40,"1",31.90,3.70,105.40,C10,U120,ES,ES2,ES22,ES220,Woodland,Broadleaved woodland,Forestry
-2.59415881,47.679951802,"33802810",,,,,6.50,6.91,20.70,23.90,"9",46.30,2.50,255.40,B16,U111,FR,FRH,FRH0,FRH04,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
-3.451686155,50.859538039,"33803170","16","21","14","64",6.20,6.30,82.10,37.50,"5",124.60,4.60,253.10,E20,U111,UK,UKK,UKK4,UKK43,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-3.678545639,51.617190209,"33803256",,,,,4.20,4.38,68.20,43.20,"0",22.00,4.10,67.90,E20,U111,UK,UKL,UKL1,UKL17,Grassland,Grassland without tree/shrub cover,Agriculture (excluding fallow land and kitchen gardens)
-1.0458152,40.371331808,"33821988","60","22","39","39",7.50,8.09,15.47,19.50,"490",15.40,1.30,136.20,F40,U112,ES,ES2,ES24,ES242,Bareland,Other bare soil,Fallow land
-1.102436691,40.693163244,"33822024","12","25","32","43",7.60,8.01,27.30,8.60,"65",8.90,1.30,156.30,F40,U112,ES,ES2,ES24,ES242,Bareland,Other bare soil,Fallow land
-1.131045529,40.854019788,"33822042","68","29","19","52",7.40,7.76,42.70,22.90,"460",47.30,2.30,185.20,B13,U111,ES,ES2,ES24,ES242,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-1.137430311,40.889760359,"33822046","21","26","27","47",7.60,7.93,43.50,4.50,"724",27.20,1.20,496.50,B13,U111,ES,ES2,ES24,ES242,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-1.205075842,41.264920088,"33822088",,,,,7.50,7.65,234.00,9.50,"120",22.50,1.10,189.70,E30,U410,ES,ES2,ES24,ES243,Grassland,Spontaneously re-vegetated surfaces,Abandoned areas
-1.367325651,42.139478104,"33822186",,,,,7.80,8.22,54.20,13.60,"468",4.50,1.40,177.30,F40,U112,ES,ES2,ES24,ES243,Bareland,Other bare soil,Fallow land
-1.560665625,43.13760798,"33822298",,,,,4.90,5.14,37.80,20.90,"0",9.80,2.30,71.10,C10,U120,ES,ES2,ES22,ES220,Woodland,Broadleaved woodland,Forestry
-2.550355526,47.612192412,"33822802",,,,,3.90,4.50,15.72,49.00,"0",38.40,4.70,122.30,E30,U420,FR,FRH,FRH0,FRH04,Grassland,Spontaneously re-vegetated surfaces,Semi-natural and natural areas not in use
-2.710012,48.249253975,"33822874",,,,,4.90,5.25,31.40,16.80,"1",59.60,2.00,115.90,B14,U111,FR,FRH,FRH0,FRH01,Cropland,Rye,Agriculture (excluding fallow land and kitchen gardens)
-4.027799232,52.817281758,"33823392",,,,,3.90,4.05,43.00,96.30,"0",31.60,7.80,93.50,D20,U420,UK,UKL,UKL1,UKL12,Shrubland,Shrubland without tree cover,Semi-natural and natural areas not in use
-0.942311048,39.908786163,"33841936","46","23","29","48",7.50,7.86,16.73,30.10,"322",0.00,2.40,212.40,C10,U120,ES,ES5,ES52,ES523,Woodland,Broadleaved woodland,Forestry
-0.948426939,39.944580443,"33841940","38","33","10","57",7.30,7.69,16.43,55.40,"55",6.40,4.90,329.50,D10,U420,ES,ES5,ES52,ES523,Shrubland,Shrubland with sparse tree cover,Semi-natural and natural areas not in use
